SPLETNISISTEMI_ACTIVA_PAYMENT_START,"Inicializacija Activa sistema. V primeru, da preusmeritev ni uspe&scaron;na pritisnite gumb naprej."
SPLETNISISTEMI_ACTIVA_REDIRECTION_START,"Preusmerjanje na Activa sistem. V primeru, da preusmeritev ni uspe&scaron;na pritisnite gumb naprej."
SPLETNISISTEMI_ACTIVA_PAYMENT_ERROR,"Pri procesiranju va&scaron;ega naro&#269;ila je pri&scaron;lo do napake. Prosimo poskusite ponovno."
SPLETNISISTEMI_ACTIVA_CURRENCY_CODE_ERROR,"Država %s, ki ste jo izbrali ni podprta v sistemu Activa."
SPLETNISISTEMI_ACTIVA_APPROVED_INVOICE_CREATED,"Transakcija zaklju&#269;ena. Ra&#269;un &scaron;tevilka %s je bil ustvarjen."
SPLETNISISTEMI_ACTIVA_REJECTED,"Transakcija je bila zavrnjena s strani Activa sistema."
SPLETNISISTEMI_ACTIVA_APPROVED_INVOICE_FAILED,"Transakcija odobrena. Ra&#269;un ni bil kreiran."
SPLETNISISTEMI_ACTIVA_PAYMENT_DESCRIPTION,"Po zaklju&#269;ku naro&#269;ila boste preusmerjeni na sistem Activa. Vnesite &scaron;tevilko kreditne kartice ter varnostno kodo. V naslednjem koraku potrdite pla&#269;ilo in nakup je zaklju&#269;en."
SPLETNISISTEMI_ACTIVA_CUSTOMER_REDIRECT_TO_ACTIVA,"Stranka je bila preusmerjena na Activa sistem"
SPLETNISISTEMI_ACTIVA_PAYMENT_SUCC,"Strankino pla&#269;ilo je bilo uspe&scaron;no izvedeno."
SPLETNISISTEMI_ACTIVA_FAILURE_CONTINUE_SHOPPING,"Prosimo, <a href='%s'>nadaljuje z nakupom</a>."
